sku,adhesion_strength,adhesive_material,backing_material,brand,breadcrumbs,color,core_size,description,elongation,image_url,manufacturer,part_number,price,standards,tape_length,tape_width,temperature_range,thickness,title,type,unspsc_code,url
924585148,24 lb/in,Rubber,Polyethylene,ORMADUS,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Black,"3""","9 mil all-purpose duct tape perfect for general maintenance applications such as wrapping & sealing, weather proofing, binding and bundling. Aggressive natural rubber adhesive adheres well to a wide variety of surfaces and offers a broad temperature range. Aggressive natural rubber adhesive adheres to a variety of surfaces Perfect for general maintenance, broad temperature range Packaging wrapping and sealing, binding and bundling exterminators, book repair weather proofing and general maintenance.",20%,https://img0.fastenal.com/infp360pmm/derivates/3/001/754/100/924585148_primary_eng.jpg,FASTENAL APPROVED VENDOR,,9.25,UL 723,55 M,48mm,40&deg;F - 200&deg;F,9 mil,48mm W x 55 M L x 9 mil Black ORMADUS&reg; Polyethylene Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/924585148
920265314,,Rubber,Polyethylene / Cloth,,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Silver,"3""",A Tape with Instant BondOriginally developed for heating ventilation and air conditioning (HVAC) applications duct tape is used today in a variety of maintenance repair and construction settings. 3M[TM] All Purpose Duct Tape DT8 offers high instant adhesion coupled with maximum conformability making it an ideal tape for contoured surfaces. It can be applied in temperatures as low as 40[DEG}F and used in temperatures as high as 150[DEG}F for up to 30 minutes. This is the most stretchable 3M duct tape and bonds firmly to a number of substrates including plastic glass and sealed concrete. (For applications requiring greater strength please see 3M[TM] Heavy Duty Duct Tape DT11.)Recommended ApplicationsPatchingBundling (light duty)ReinforcingTaping / splicing insulationCapping pipeSecuring conduit endsMarkingLabelingTemporary repairHanging poly (polyethylene drapes)Built to Stick3M’s family of rugged cloth and duct tapes adheres to most surfaces for applications ranging from bundling to moisture proofing sealing to splicing reinforcing to hanging poly drapes. Available in a variety of thicknesses and strengths these tapes are known best for their hand tearability high tensile strength and conformability. For industrial/occupational use only. Not for consumer sale or use. For industrial/occupational use only. Not for consumer sale or use. For industrial/occupational use only. Not for consumer sale or use. For industrial/occupational use only. Not for consumer sale or use. For industrial/occupational use only. Not for consumer sale or use. For industrial/occupational use only. Not for consumer sale or use. For industrial/occupational use only. Not for consumer sale or use. For industrial/occupational use only. Not for consumer sale or use. For industrial/occupational use only. Not for consumer sale or use. For industrial/occupational use only. Not for consumer sale or use. For industrial/occupational use only. Not for consumer sale or use. For industrial/occupational use only. Not for consumer sale or use. For industrial/occupational use only. Not for consumer sale or use. Woven cloth scrim allows tape to tear easily by hand For industrial/occupational use only. Not for consumer sale or use.,21%,https://img3.fastenal.com/infp360pmm/derivates/3/001/114/544/920265314_Primary_eng.jpg,3M,7100158345,13.37,,54.80 M,48mm,40&deg;F - 150&deg;F,8 mil,48 mm x 54.8 m 8 mil Silver DT8 All Purpose Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/920265314
924585143,26 lb/in,Rubber,Polyethylene,ORMADUS,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Black,"3""","An 11 mil polyethylene coated cloth tape with an aggressive natural rubber adhesive system designed to provide exceptional shear strength. For demanding applications such as HVAC, abatement, weather proofing, extermination, flex-duct connections and all general maintenance needs. Available in silver and black. Contractor's grade For demanding HVAC, abatement and weather proofing applications Great for flex-duct connections and general maintenance HVAC applications asbestos / lead / fiberglass abatement exterminators weather-proofing gasket material for flexduct connections temporary wrapping and general maintenance.",21%,https://img0.fastenal.com/infp360pmm/derivates/3/001/754/100/924585148_primary_eng.jpg,FASTENAL APPROVED VENDOR,,9.54,UL 723,55 M,48mm,40&deg;F - 200&deg;F,11 mil,48mm W x 55 M L x 11 mil Black ORMADUS&reg; Polyethylene Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/924585143
0601760,60 oz/in,Rubber / Resin,Polypropylene,,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Red,"3""","Polyethylene (PE) coated cloth tape with an aggressive pressure sensitive natural rubber adhesive. Designed to answer the need for an economical, approach to applications. Polyethylene (PE) coated cloth tape with an aggressive pressure sensitive natural rubber adhesive. Designed to answer the need for an economical, approach to applications. Packaging, wrapping and sealing, binding and bundling, exterminators, book repair, weather proofing, and general maintenance.",18%,https://img4.fastenal.com/infp360pmm/derivates/3/001/121/975/0601760_primary_eng.jpg,IPG,77387,20.45,"Meets HUD, BOCA, and L.A. County Codes, UL 723",55 M,48mm,200&deg;F,9 mil,48mm x 55m Red IPG&reg; AC20 9.0 mil All Purpose Colored Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/0601760
0601763,60 oz/in,Rubber / Resin,Polypropylene,,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Yellow,"3""","Jobsite DUCTape is a polyethylene (PE) coated cloth tape with an aggressive pressure sensitive natural rubber adhesive. Designed to answer the need for an economical, approach to applications. For shop and site repairs, packaging, wrapping and sealing, binding and bundling, exterminators, book repair, weather proofing, and general maintenance. Meets HUD, L.A. County, and BOCA codes. Tested in accordance with UL-723. Jobsite DUCTape is a polyethylene (PE) coated cloth tape with an aggressive pressure sensitive natural rubber adhesive. Designed to answer the need for an economical, approach to applications. For shop and site repairs, packaging, wrapping and sealing, binding and bundling, exterminators, book repair, weather proofing, and general maintenance. Meets HUD, L.A. County, and BOCA codes. Tested in accordance with UL-723. Packaging, wrapping and sealing, binding and bundling, exterminators, book repair, weather proofing, and general maintenance.",18%,https://img2.fastenal.com/infp360pmm/derivates/3/001/121/974/0601763_primary_eng.jpg,IPG,20C-Y 2,18.81,"Meets HUD, BOCA, and L.A. County Codes, UL 723",55 M,48mm,200&deg;F,9 mil,48mm x 55m Yellow IPG&reg; AC20 9.0 mil All Purpose Colored Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/0601763
0617899,85 oz/in,,,GORILLA,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Black,"1""","Convenient for on-the-go repairs, Gorilla's Duct[REG] Tape To-Go's 1"" wide packs a powerful grip in a portable size. Ideal size for backpacks, toolboxes, junk drawers, emergency repairs, ATVs, boats, automotive, glove compartments for camping, hunting, fishing, boating and more! A ""must have"" for contractors, DIYers, sports enthusiasts and outdoor adventurers. Serious tape for all types of repairs and applications. For use indoors and outdoors. Sticks to smooth, rough or uneven surfaces such as brick, stucco, concrete, metal, fabric, wood, plaster and much more! The all-weather shell is both UV and water-resistant and withstands the elements better with tougher abrasion-resistance and a tighter barrier against moisture. A thick fabric backing gives the tape strength and durability, yet easily tears by hand. The adhesive coating weight is between 2 to 3 times as thick as other tapes. Additional adhesive allows Gorilla Tape[REG] to have gap-filling properties and out-perform other tapes. Just enough tape for small repairs, emergency repairs, projects, traveling, etc. Convenient for on-the-go repairs, Gorilla's[REG] Duct Tape To-Go's 1"" wide packs a powerful grip in a portable size Serious tape for all types of repairs and applications For use indoors and outdoors Sticks to smooth, rough or uneven surfaces such as brick, stucco, concrete, metal, fabric, wood, plaster and much more! The all-weather shell is both UV and water-resistant and withstands the elements better with tougher abrasion-resistance and a tighter barrier against moisture A thick fabric backing gives the tape strength and durability, yet easily tears by hand The adhesive coating weight is between 2 to 3 times as thick as other tapes Additional adhesive allows Gorilla Tape[REG] to have gap-filling properties and out-perform other tapes Just enough tape for small repairs, emergency repairs, projects, traveling, etc. Convenient for on-the-go repairs, Gorilla's[REG] Duct Tape To-Go's 1 inch wide packs a powerful grip in a portable size. Ideal size for backpacks, toolboxes, junk drawers, emergency repairs, ATVs, boats, automotive, glove compartments for camping, hunting, fishing, boating and more! A ""must have"" for contractors, DIYers, sports enthusiasts and outdoor adventurers. Serious tape for all types of repairs and applications. For use indoors and outdoors. Sticks to smooth, rough or uneven surfaces such as brick, stucco, concrete, metal, fabric, wood, plaster and much more! Just enough tape for small repairs, emergency repairs, projects, traveling, etc.",21%,https://img3.fastenal.com/infp360pmm/derivates/3/001/905/0617899.jpg,GORILLA GLUE,6100109,43.38,,10 yd,25mm,40&deg;F - 120&deg;F,17 mil,25mm x 9.14m Black Gorilla&reg; 17.0 mil Heavy Duty Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/0617899
0617897,85 oz/in,,,GORILLA,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",White,"3""","White Gorilla Tape[REG] brings the toughness & strength of original Gorilla Tape[REG] and provides it in a brilliant white color per consumer request! White is the #1 selling color of duct tape. Superior UV resistance. Won't yellow with extended time outdoors. Serious tape for all types of repairs & applications. Withstands extremely hot & cold weather, UV rays and moisture. Double thick adhesive. Strong reinforced backing. A thick fabric backing gives the tape strength and durability, yet easily tears by hand. Tough all-weather shell. Incredibly strong. Sticks to smooth, rough or uneven surfaces such as brick, stucco, concrete, metal, fabric, wood, plaster and much more! The adhesive coating weight is between 2 to 3 times as thick as other tapes. Additional adhesive allows Gorilla Tape[REG] to have gap-filling properties and out-perform other tapes. Permanent adhesive layer that stands up to rugged, all-terrain situations. Great for home owners, contractors, DIYers, hobbyists, sports enthusiasts, outdoor adventurers, etc. White Gorilla Tape[REG] brings the toughness & strength of original Gorilla Tape[REG] and provides it in a brilliant white color per consumer request! Superior UV resistance Won't yellow with extended time outdoors Serious tape for all types of repairs & applications Withstands extremely hot & cold weather, UV rays and moisture Double thick adhesive Strong reinforced backing Tough all-weather shell A thick fabric backing gives the tape strength and durability, yet easily tears by hand Incredibly strong Use indoors or outdoors Sticks to smooth, rough or uneven surfaces such as brick, stucco, concrete, metal, fabric, wood, plaster and much more! The adhesive coating weight is between 2 to 3 times as thick as other tapes Additional adhesive allows Gorilla Tape[REG] to have gap-filling properties and out-perform other tapes Permanent adhesive layer that stands up to rugged, all-terrain situations Great for home owners, contractors, DIYers, hobbyists, sports enthusiasts, outdoor adventurers, etc. Use indoors or outdoors. Serious tape for all types of repairs & applications. Withstands extremely hot & cold weather, UV rays and moisture. Incredibly strong. Use indoors or outdoors. Sticks to smooth, rough or uneven surfaces such as brick, stucco, concrete, metal, fabric, wood, plaster and much more! The adhesive coating weight is between 2 to 3 times as thick as other tapes. Additional adhesive allows Gorilla Tape[REG] to have gap-filling properties and out-perform other tapes. Permanent adhesive layer that stands up to rugged, all-terrain situations. Great for home owners, contractors, DIYers, hobbyists, sports enthusiasts, outdoor adventurers, etc.",21%,https://img2.fastenal.com/infp360pmm/derivates/3/001/118/016/0617897_primary_eng.jpg,GORILLA GLUE,6025001,24.48,"ASTM D3330, ASTM D3759",30 yd,48mm,40&deg;F - 120&deg;F,17 mil,48mm x 27.4m White Gorilla&reg; 17.0 mil Heavy Duty Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/0617897
0607073,304 oz/in,Rubber,Polyethylene,3M,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Silver,"3""",Constructed of polyethylene film laminated to cloth with a rubber adhesive 3M[TM] General Use Duct Tape 2929 resists curling and tears off the roll cleanly. Duct Tape 2929 comes with a classic silver-colored backing is especially helpful when it comes to wire pulling. Sturdy cloth-reinforced tape can be torn from the roll and sticks instantly providing a wide range of convenient solutions. GENERAL USE: Polyethylene film laminated to cloth with a rubber adxhesive resists tears curling and tears off the roll cleanly GENERAL USE: Polyethylene film laminated to cloth with a rubber adxhesive resists tears curling and tears off the roll cleanly GENERAL USE: Polyethylene film laminated to cloth with a rubber adxhesive resists tears curling and tears off the roll cleanly GENERAL USE: Polyethylene film laminated to cloth with a rubber adxhesive resists tears curling and tears off the roll cleanly GENERAL USE: Polyethylene film laminated to cloth with a rubber adxhesive resists tears curling and tears off the roll cleanly GENERAL USE: Polyethylene film laminated to cloth with a rubber adxhesive resists tears curling and tears off the roll cleanly GENERAL USE: Polyethylene film laminated to cloth with a rubber adxhesive resists tears curling and tears off the roll cleanly GENERAL USE: Polyethylene film laminated to cloth with a rubber adxhesive resists tears curling and tears off the roll cleanly GENERAL USE: Polyethylene film laminated to cloth with a rubber adxhesive resists tears curling and tears off the roll cleanly GENERAL USE: Polyethylene film laminated to cloth with a rubber adxhesive resists tears curling and tears off the roll cleanly GENERAL USE: Polyethylene film laminated to cloth with a rubber adxhesive resists tears curling and tears off the roll cleanly GENERAL USE: Polyethylene film laminated to cloth with a rubber adxhesive resists tears curling and tears off the roll cleanly GENERAL USE: Polyethylene film laminated to cloth with a rubber adxhesive resists tears curling and tears off the roll cleanly INSTANT BOND: Sticks immediately GENERAL USE: Polyethylene film laminated to cloth with a rubber adxhesive resists tears curling and tears off the roll cleanly,14%,https://img0.fastenal.com/infp360pmm/derivates/3/001/112/996/0607073_Primary_eng.jpg,3M,7000029030,21.05,,50 yd,48mm,200&deg;F,5.50 mil,48mm x 45.7m Silver 3M&trade; 2929 5.5 mil Utility Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/0607073
0601762,60 oz/in,Rubber / Resin,Polypropylene,,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",White,"3""","Polyethylene (PE) coated cloth tape with an aggressive pressure sensitive natural rubber adhesive. Designed to answer the need for an economical, approach to applications. Polyethylene (PE) coated cloth tape with an aggressive pressure sensitive natural rubber adhesive. Designed to answer the need for an economical, approach to applications. Packaging, wrapping and sealing, binding and bundling, exterminators, book repair, weather proofing, and general maintenance.",18%,https://img4.fastenal.com/infp360pmm/derivates/3/001/121/969/0601762_primary_eng.jpg,IPG,75660,26.20,"Meets HUD, BOCA, and L.A. County Codes, UL 723",55 M,48mm,200&deg;F,9 mil,48mm x 55m White IPG&reg; AC20 9.0 mil All Purpose Colored Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/0601762
0601414,,Rubber / Resin,Vinyl,3M,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Gray,"3""","3M™ Vinyl Duct Tape 3903 is a hand-tearable general purpose tape with a rubber adhesive and embossed vinyl backing. This tape is ideal for a variety of purposes including temporary repairs, identification, contrast, decoration, securing wiring, bundling, sealing, holding, protecting, and other jobs including applications requiring moisture resistance. Embossed vinyl backing seals out dust, dirt, and moisture, and resists abrasion and many chemicals Peels off cleanly after 30 minutes on painted steel as hot as 200°F (93°C) Easy to tear and conforms to irregular surfaces Available in a variety of colors for coding, process tagging, highlighting trip hazards, and enhancing dÃ©cor",115%,https://img1.fastenal.com/infp360pmm/derivates/3/001/303/941/0601414.jpg,3M,7100145925,22.14,,50 yd,48mm,0&deg;F - 250&deg;F,6.50 mil,"2"" x 50yd Gray 3M&trade; 3903 6.5 mil Vinyl Duct Tape",Duct Tape,31201501,https://www.fastenal.com/product/details/0601414
0601757,60 oz/in,Rubber / Resin,Polypropylene,,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Orange,"3""","Jobsite DUCTape is a polyethylene (PE) coated cloth tape with an aggressive pressure sensitive natural rubber adhesive. Designed to answer the need for an economical, approach to applications. For shop and site repairs, packaging, wrapping and sealing, binding and bundling, exterminators, book repair, weather proofing, and general maintenance. Meets HUD, L.A. County, and BOCA codes. Tested in accordance with UL-723. Jobsite DUCTape is a polyethylene (PE) coated cloth tape with an aggressive pressure sensitive natural rubber adhesive. Designed to answer the need for an economical, approach to applications. For shop and site repairs, packaging, wrapping and sealing, binding and bundling, exterminators, book repair, weather proofing, and general maintenance. Meets HUD, L.A. County, and BOCA codes. Tested in accordance with UL-723. Packaging, wrapping and sealing, binding and bundling, exterminators, book repair, weather proofing, and general maintenance.",18%,https://img4.fastenal.com/infp360pmm/derivates/3/001/121/956/0601757_primary_eng.jpg,IPG,20C-OR 2,27.67,"Meets HUD, BOCA, and L.A. County Codes, UL 723",55 M,48mm,200&deg;F,9 mil,48mm x 55m Orange IPG&reg; AC20 9.0 mil All Purpose Colored Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/0601757
0603600,14.50 lb/in,Rubber / Resin,Vinyl,3M,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",White,"3""","3M™ Vinyl Duct Tape 3903 is a hand-tearable general purpose tape with a rubber adhesive and embossed vinyl backing. This tape is ideal for a variety of purposes including temporary repairs, identification, contrast, decoration, securing wiring, bundling, sealing, holding, protecting, and other jobs including applications requiring moisture resistance. Embossed vinyl backing seals out dust, dirt, and moisture, and resists abrasion and many chemicals Peels off cleanly after 30 minutes on painted steel as hot as 200°F (93°C) Easy to tear and conforms to irregular surfaces Available in a variety of colors for coding, process tagging, highlighting trip hazards, and enhancing dÃ©cor",115%,https://img4.fastenal.com/infp360pmm/derivates/3/001/115/834/0603600.jpg,3M,7100148262,20.23,,50 yd,48mm,0&deg;F - 250&deg;F,5 mil,"2"" x 50yd White 3M&trade; 3903 5.0 mil Vinyl Duct Tape",Duct Tape,31201501,https://www.fastenal.com/product/details/0603600
